p,algo,modelo_desc,tasa_pesada
3,adl,adulto ~ long.diametro + peso.viscera + peso.caparazon,0.7957864496049797
3,adl,adulto ~ long.largo + long.altura + peso.caparazon,0.7914771367009815
3,adl,adulto ~ long.largo + long.altura + peso.desenvainado,0.7888436677040939
3,adl,adulto ~ long.largo + long.altura + peso.total,0.7933923868805363
3,adl,adulto ~ long.largo + long.altura + peso.viscera,0.7972228872396456
3,adl,adulto ~ long.largo + long.diametro + long.altura,0.7936317931529806
3,adl,adulto ~ long.largo + long.diametro + peso.caparazon,0.7962652621498684
3,adl,adulto ~ long.largo + long.diametro + peso.desenvainado,0.7893224802489825
3,adl,adulto ~ long.largo + long.diametro + peso.total,0.795307637060091
3,adl,adulto ~ long.largo + long.diametro + peso.viscera,0.79746229351209
3,adl,adulto ~ long.largo + peso.desenvainado + peso.caparazon,0.7912377304285372
3,adl,adulto ~ long.largo + peso.desenvainado + peso.viscera,0.7948288245152023
3,adl,adulto ~ long.largo + peso.total + peso.caparazon,0.7907589178836486
3,adl,adulto ~ long.largo + peso.total + peso.desenvainado,0.793871199425425
3,adl,adulto ~ long.largo + peso.total + peso.viscera,0.7929135743356476
3,adl,adulto ~ long.largo + peso.viscera + peso.caparazon,0.794589418242758
3,adl,adulto ~ peso.desenvainado + peso.viscera + peso.caparazon,0.7986593248743117
3,adl,adulto ~ peso.total + peso.desenvainado + peso.caparazon,0.8000957625089777
3,adl,adulto ~ peso.total + peso.desenvainado + peso.viscera,0.8027292315058655
3,adl,adulto ~ peso.total + peso.viscera + peso.caparazon,0.798898731146756
3,kvmc,adulto ~ anillos + long.altura + peso.caparazon,0.7596361024658846
3,kvmc,adulto ~ anillos + long.altura + peso.desenvainado,0.7553267895618865
3,kvmc,adulto ~ anillos + long.altura + peso.total,0.7565238209241082
3,kvmc,adulto ~ anillos + long.altura + peso.viscera,0.7538903519272205
3,kvmc,adulto ~ anillos + long.diametro + long.altura,0.7593966961934403
3,kvmc,adulto ~ anillos + long.diametro + peso.caparazon,0.7579602585587742
3,kvmc,adulto ~ anillos + long.diametro + peso.desenvainado,0.7565238209241082
3,kvmc,adulto ~ anillos + long.diametro + peso.total,0.7603543212832177
3,kvmc,adulto ~ anillos + long.diametro + peso.viscera,0.7514962892027771
3,kvmc,adulto ~ anillos + long.largo + long.altura,0.7584390711036629
3,kvmc,adulto ~ anillos + long.largo + long.diametro,0.7412018194876706
3,kvmc,adulto ~ anillos + long.largo + peso.caparazon,0.7572420397414412
3,kvmc,adulto ~ anillos + long.largo + peso.desenvainado,0.74503231984678
3,kvmc,adulto ~ anillos + long.largo + peso.total,0.7610725401005506
3,kvmc,adulto ~ anillos + long.largo + peso.viscera,0.7589178836485516
3,kvmc,adulto ~ anillos + peso.desenvainado + peso.caparazon,0.7440746947570026
3,kvmc,adulto ~ anillos + peso.desenvainado + peso.viscera,0.7558056021067752
3,kvmc,adulto ~ anillos + peso.total + peso.caparazon,0.75628441465166385
3,kvmc,adulto ~ anillos + peso.total + peso.desenvainado,0.7589178836485516
3,kvmc,adulto ~ anillos + peso.total + peso.viscera,0.7536509456547762
3,kvmc,adulto ~ anillos + peso.viscera + peso.caparazon,0.7529327268374432
